,hash,time,total_value,direction,gini_coefficient
83,4b3d100c5e3e279a80250569d23bf746be10e4ecc924f6e074c7749be9d3592d,2023-02-28 07:11:39,2577862,inbound,0.0000
84,b63c2c4108a78e72b87c6f4b015d23f920a2111f7bd244cb8d4b9879383ef86e,2023-02-27 17:07:16,128911860,outbound,6206.7033
85,0cd858c7a5090c907ca039d04ace7c77b5325d21a5782ec4d38307075ab702e2,2023-02-25 02:56:08,522109170,inbound,170.2776
86,3491b7cb4e390cd665a0ece041954cb610e3f876e0173bbaf12f36288563f286,2023-02-24 20:17:16,14157891,inbound,18836.5388
87,0537295a52d306a8effc7af9ea723bb0f56d998d8c42968e7ae7ca474faffa38,2023-02-24 19:03:47,9382300,inbound,71063.4151
88,be5958e7200eb7f6cd46398431b661e0d3efd59dc51fae7f4ce57acd75738222,2023-02-23 22:10:43,2203925,inbound,847109.1932
89,94b2ea5646a1bb4360e39c17edef8be63e3dc8908235b0289395491cebcac535,2023-02-23 19:48:38,1178737574,inbound,10413.6380
90,a6d32783a0bbd2e18593d2e6b87074a7f41f5dd46c42673c343a2e7a778a1c46,2023-02-23 18:56:42,1999937740,inbound,8072.3429
91,791a00345308b23379d837ee0bb9678e1a46ae1ecbbc125d217c252c305dd2cf,2023-02-23 17:22:38,308685712,inbound,13355.1086
92,bd19d92f5b5a070a363eaa97a03f5d41bdb05c0783bb14e58d34d45da137717f,2023-02-23 01:51:00,117488000,inbound,4539.5031
93,f0e45b86dd0122705edb0e77a46adff7f4e454c6587597afccad2a6188b3c3bd,2023-02-22 12:51:14,102099154,outbound,10449.0391
94,b0570b196c87f9f7d0f73a8dc353e37c7ea3ef302d5c3a38d9543ed470abac26,2023-02-21 16:47:38,3818884,inbound,349194.1368
95,9ab27bb0b356bb6da4c95d58d4304749a94a4e86ef898932112a7a33acfbc83f,2023-02-21 01:29:57,9200000,inbound,28990.0970
96,b592db8716d0bf76a06234436d9daaf4f624879a773ff8216a86aad957864b58,2023-02-20 10:50:57,75911870,inbound,228374.9519
97,122005c8bc457996d5593617c618154366a83bf569f02cdb13c9841647b7c513,2023-02-19 22:42:25,11834135,inbound,123952.9469
98,c00f4eadeb6048ff708cfe95835df685876dfd3fdcaf4c4e99e0fc63256ed351,2023-02-19 19:14:28,10034066,inbound,93031.4084
99,254d24388900f98be098930a76d8f94c346ed141efdc4877232d6a2a79a9712b,2023-02-19 15:47:47,6078130,inbound,263273.2986
100,a6388a6ec055cc9cdcdb8dbf9820986094e4feba53326844b7544a3cccbbde6b,2023-02-18 00:40:18,550411868,inbound,56335.6927
101,e2714e58676f15638c3e3a52dc8bf9e9bf5cd79f2bc4dc1d183844181164aaa7,2023-02-17 07:28:36,6092580,inbound,393973.2824
102,33c97c9a0fd3b4d0b675092b6a26b4bcba046660e3cc2b8715bb135f3a87db54,2023-02-15 21:36:59,159847210,inbound,2502.3998
103,53f8d33573a60b6ff3f2538f535968580bebc509c6be9250d7123e42f2aa8eae,2023-02-15 08:50:07,100274796,outbound,6649.5563
104,690eb5d07f692648e4dcf515258976786e1ae74b88e14bf6ec1c91b26224a788,2023-02-12 04:22:09,210853669,inbound,130535.1295
